severity,parameter,warning
warning,alpha,R-hat 1.032 > 1.01
warning,alpha,bulk ESS 40.0 < 400
warning,alpha,tail ESS 40.0 < 400
warning,kappa_0,R-hat 1.170 > 1.01
warning,kappa_0,bulk ESS 25.4 < 400
warning,kappa_0,tail ESS 40.0 < 400
warning,delta,R-hat 1.141 > 1.01
warning,delta,bulk ESS 40.0 < 400
warning,delta,tail ESS 40.0 < 400
warning,kappa_t_mean,R-hat 1.166 > 1.01
warning,kappa_t_mean,bulk ESS 25.2 < 400
warning,kappa_t_mean,tail ESS 40.0 < 400
warning,kappa_t_start,R-hat 1.200 > 1.01
warning,kappa_t_start,bulk ESS 27.5 < 400
warning,kappa_t_start,tail ESS 40.0 < 400
warning,kappa_t_mid,bulk ESS 26.5 < 400
warning,kappa_t_mid,tail ESS 23.3 < 400
warning,kappa_t_end,R-hat 1.308 > 1.01
warning,kappa_t_end,bulk ESS 35.2 < 400
warning,kappa_t_end,tail ESS 23.3 < 400
warning,phi_1,R-hat 1.077 > 1.01
warning,phi_1,bulk ESS 40.0 < 400
warning,phi_1,tail ESS 40.0 < 400
warning,rho_1,R-hat 1.143 > 1.01
warning,rho_1,bulk ESS 9.8 < 400
warning,rho_1,tail ESS 40.0 < 400
warning,rho_2,R-hat 1.824 > 1.01
warning,rho_2,bulk ESS 6.9 < 400
warning,rho_2,tail ESS 24.2 < 400
warning,n,R-hat 1.031 > 1.01
warning,n,bulk ESS 28.2 < 400
warning,n,tail ESS 40.0 < 400
warning,lambda_ez,R-hat 1.128 > 1.01
warning,lambda_ez,bulk ESS 40.0 < 400
warning,lambda_ez,tail ESS 40.0 < 400
warning,rho,R-hat 1.113 > 1.01
warning,rho,bulk ESS 40.0 < 400
warning,rho,tail ESS 40.0 < 400
warning,sigma_eta,R-hat 1.075 > 1.01
warning,sigma_eta,bulk ESS 40.0 < 400
warning,sigma_eta,tail ESS 24.2 < 400
warning,sigma_e,R-hat 1.103 > 1.01
warning,sigma_e,bulk ESS 40.0 < 400
warning,sigma_e,tail ESS 24.2 < 400
warning,sigma_zeta,bulk ESS 40.0 < 400
warning,sigma_zeta,tail ESS 40.0 < 400
warning,sigma_u,bulk ESS 9.5 < 400
warning,sigma_u,tail ESS 24.2 < 400
warning,sigma_eps,bulk ESS 11.9 < 400
warning,sigma_eps,tail ESS 24.2 < 400
warning,sigma_N,bulk ESS 8.9 < 400
warning,sigma_N,tail ESS 24.2 < 400
