run,model,data_spec,prior_spec,constraint_spec,n_transform,parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,ess_bulk,ess_tail,r_hat,warning
hsa_steady_unemployment_gap_baseline_20260622_205801,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,sigma_eps,0.33263081752572643,0.02972230683546313,0.28185851624347874,0.4031942401160181,0.005742305540062943,26.791216416817807,40.0,0.985103218500752,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_205801,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,sigma_N,0.2920897460256212,0.02780174704856891,0.25077308512839885,0.3424030531485825,0.00585129231743453,22.57566672788814,21.729615248852806,1.0943240616331569,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,alpha,0.64469740620662,0.048628768318942285,0.5463569298424837,0.7213354614050815,0.007688883384824751,40.0,40.0,1.0491699716790206,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,kappa_0,0.08578307066507428,0.04165485027873539,0.012297760738025307,0.1431695906719276,0.008082338005901874,26.561777717962357,40.0,1.0106773394393336,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,delta,0.02849516172618959,0.014066625960227229,0.000317850685345677,0.049175466116218376,0.002224128851398557,40.0,40.0,1.0143803400631897,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,kappa_t_mean,0.08872154995654409,0.03569364295941435,0.027948311216106053,0.14099354505799538,0.005903721878696693,36.55358445487444,19.83886561392201,1.0140226191747301,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,kappa_t_start,0.11824555122536909,0.055101400452972286,0.03297081903254939,0.21653758139110182,0.011200731172468245,24.20095622853727,40.0,1.05268575990923,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,kappa_t_mid,0.12345964438994672,0.050598436373529045,0.046930356715020466,0.20296233983420217,0.008766144999835988,33.316309843409144,40.0,0.9760604383878912,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,kappa_t_end,0.0029754550411999437,0.04754356507221035,-0.09693243006924689,0.09588219757289626,0.009405266706010463,25.55296251795473,40.0,0.9807029445873081,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,phi_1,0.9468896868414782,0.019894728476445283,0.9207415472960767,0.9916146041665309,0.0032585972476093686,37.27474317609749,40.0,0.9771088810312237,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,rho_1,0.7637242478878592,0.15056416331675046,0.5135761288971894,1.0050665725636,0.04485078413030487,11.269461124110185,24.207628784899725,1.218014640771625,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,rho_2,0.016357661196962157,0.12662055172810374,-0.19115160912392534,0.20117442832551943,0.02680901547623563,22.307282759440632,40.0,0.9819038289460473,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,n,-0.022662642549466334,0.025884536211306174,-0.08651383617774967,0.017963613000329,0.004270700358884828,36.73521388030627,23.291713961407492,0.9910454608786726,bulk ESS < 400; tail ESS < 400
hsa_steady_unemployment_gap_baseline_20260622_230457,hsa_steady,unemployment_gap,baseline,unrestricted,log100_centered10,lambda_ez,0.034004281751091096,0.10657471324729559,-0.1372454878869003,0.2414705813511967,0.016850941742038692,40.0,40.0,1.0171673536240589,R-hat > 1.01; bulk ESS < 400; tail ESS < 400
